,gene,labels,Oligo_2_1,Oligo_2_3_2,log2FC,pval,log2FCsc,Oligo_2_1sqr,Oligo_2_3_2sqr,fc,log2fcsqr,select
260,PCOLCE,,1.01710824530945,1.02882367805093,0.0117154327414857,5.26E-31,0.0382838224804768,1.03450918267647,1.05847816051824,1.02316942009134,0.0330450515234952,
181,IL2RA,,1.02196931855177,1.03334456486003,0.011375246308261,2.02E-23,0.0138280303255397,1.04442128806117,1.06780098972576,1.02238531704768,0.03193902233005,
176,IGF1,,1.06058962796499,1.07161112633411,0.0110214983691221,8.50E-10,0.0271080396862024,1.12485035894692,1.14835040608306,1.02089170968318,0.0298298415450593,
335,TRAF4,,1.14132725720904,1.15238099787782,0.0110537406687843,4.26E-06,0.718987410875202,1.30262790804831,1.32798196426988,1.01946377477783,0.0278105121108658,
272,PLN,,1.02878946193443,1.03846103438648,0.00967157245204064,6.86E-15,0.00787649828044029,1.05840775698733,1.07840131993904,1.01889022715462,0.0269986272932416,
343,VCAN,,1.3099151300742,1.32209361571844,0.01217848564424,0.00182962847142227,0.08260254252419,1.71587764799731,1.74793152872346,1.01868074962312,0.0267019876174903,
55,CD274,,1.02272891296547,1.03213850084649,0.00940958788101942,5.17E-18,0.0789483103511723,1.04597442941553,1.06530988492964,1.01848559101479,0.0264255699763122,
342,VASN,,1.01921413716435,1.02845410515523,0.00923996799087878,4.47E-20,0.0655221544088886,1.03879745739567,1.05771784641065,1.01821374213065,0.0260404419085807,
71,CDK1,,1.05151133499638,1.06008687409986,0.00857553910348297,1.17E-07,0.0155639079083871,1.10567608762587,1.12378418063881,1.01637739408096,0.0234361929301355,
236,MTAP,,1.2167707915775,1.22640075322142,0.00962996164392038,0.000810280452802399,0.45833604279494,1.48053115923614,1.50405880750207,1.01589135636839,0.0227461225732304,
23,AREG,,1.01283618830949,1.02044092696838,0.00760473865889422,6.51E-15,0.14631244089693,1.0258371443493,1.04129968543209,1.01507309534263,0.0215836195201636,
15,ANGPT1,,1.08504770110551,1.09311816295961,0.00807046185409854,3.99E-05,0.095625336786789,1.17732851367435,1.19490731819219,1.01493109553847,0.0213817850465983,
46,CCL8,,1.01870662646046,1.0256684882684,0.00696186180793612,1.06E-10,0.00587888610382848,1.03776319079445,1.05199584782679,1.01371474451839,0.0196517405407552,
190,ITIH2,,1.01325433975321,1.0197620345367,0.00650769478348923,4.26E-13,-0.00454665061756788,1.02668435702871,1.03991460708243,1.01288638515152,0.0184723569909209,
56,CD28,,1.03263297043756,1.03818267881873,0.0055497083811753,1.24E-05,0.00326494730768945,1.0663308516347,1.07782327459923,1.01077753958532,0.0154655117292219,
61,CD52,,1.0220480995962,1.0270359130073,0.00498781341110099,2.04E-06,0.0172920531918915,1.0445823178882,1.05480276660674,1.00978424442336,0.0140470724307302,
252,OGN,,1.01873774923817,1.02355925810959,0.00482150887142074,1.36E-06,0.0124634422502493,1.03782660172285,1.04767355486185,1.00948805236121,0.0136238359777214,
22,AR,,1.0388668454543,1.04258492263341,0.0037180771791141,0.00492771156214686,0.00197778805111719,1.07924432258417,1.08698332090251,1.00717075657143,0.0103082998039358,
160,GZMA,,1.01563330324752,1.01903610064619,0.00340279739867566,0.000290567136350464,0.013533522307949,1.03151100666547,1.03843457442019,1.00671206386552,0.00965110793871449,
161,GZMK,,1.01777642256658,1.02022719449902,0.00245077193243914,0.0109525578701834,0.00592116625468563,1.03586884633243,1.04086352839534,1.00482173209533,0.0069395720164563,
99,CXCL5,,1.0397621926263,1.04201513389051,0.00225294126420517,0.12675645823133,0.00635159126633071,1.08110541721505,1.08579553925686,1.00433826523031,0.006245256717536,
211,LTBP4,,1.03002720591563,1.03204309074348,0.00201588482784709,0.0736259764903247,0.373070331983602,1.06095604492636,1.06511294115136,1.00391806639387,0.00564153021427288,
271,PLEKHO1,,1.28874558711926,1.28984027908579,0.00109469196653778,0.744601396495706,0.235016260002116,1.66086518831937,1.66368794555211,1.001699570352,0.00244988043561431,
57,CD3E,,1.0197859127236,1.02059778797511,0.000811875251510497,0.397503564654723,0.0174230905514324,1.03996330778951,1.04161984481969,1.00159288026585,0.00229621214987852,
306,SLC25A37,,1.08803109436724,1.08881063865945,0.000779544292213163,0.685041889916643,0.34724721643543,1.18381166230997,1.185508606858,1.00143345821135,0.00206656224113489,
51,CD2,,1.03080009186652,1.03114752262626,0.000347430759738865,0.776955802247645,0.00565752317351456,1.06254882939203,1.06326521341827,1.00067421280456,0.000972355719126334,
124,ESM1,,1.01153834320843,1.01185756812437,0.000319224915939831,0.663086832061301,0,1.02320981978086,1.02385573817056,1.00063126680102,0.000910438148849416,
223,METRNL,,1.0153632835062,1.01505212157947,-0.000311161926722647,0.698845797777423,0.344922112054383,1.03096259749249,1.03033080952298,0.999387186333388,-0.000884374243806684,
207,LIMD2,,1.04364157638667,1.04297649342839,-0.000665082958273944,0.62676118643834,0.085137649401101,1.08918773996285,1.08779996584418,0.99872586325777,-0.00183936280829516,
75,CEMIP,,1.0554532946911,1.05449499726739,-0.000958297423705234,0.560478676862925,0.0204354614149809,1.1139816572743,1.11195969926195,0.998184927014604,-0.00262097614660007,
318,STC1,,1.01324185598532,1.01216377269541,-0.00107808328991599,0.140699500603628,0.0378768550954744,1.02665905872058,1.02447550275701,0.997873144015023,-0.00307167224358803,
238,MYH11,,1.01853811528512,1.01708424604416,-0.00145386924096225,0.12975745925206,0.0169089656218581,1.03741989228856,1.03446036355122,0.99714722191145,-0.00412157056342881,
58,CD3G,,1.02684846973312,1.02534253453193,-0.00150593520119213,0.157093861286043,0.0114469316522414,1.05441777979325,1.05132731312036,0.997069030196462,-0.00423470453211505,
221,MECOM,,1.01474128400702,1.01324584243168,-0.00149544157533898,0.0586298649959595,-0.00390225735216207,1.02969987346822,1.02666713720508,0.997054737655822,-0.00425538507144297,
165,HES1,,1.18552570089097,1.18363632083075,-0.00188938006021577,0.496214315505476,0.0247050659704223,1.40547118747303,1.40099493998975,0.996815126824962,-0.00460213323715534,
64,CD80,,1.00471381832425,1.00288946590681,-0.00182435241743129,1.03E-05,0.00981805190200297,1.00944985673169,1.00578728082685,0.99637171090726,-0.00524403387984836,
206,LILRA4,,1.04590662464368,1.04358215687443,-0.00232446776924822,0.0916871437288937,0.000796638338355009,1.09392066747354,1.08906371814669,0.995560053419536,-0.00641975115914274,
150,GNLY,,1.00898910144099,1.00648553124613,-0.00250357019486191,1.02E-05,0.0269736298930056,1.0180590068267,1.0130131246078,0.995043624991227,-0.00716831679005158,
243,NDUFA4L2,,1.0117405464334,1.00913595626162,-0.00260459017177883,7.45E-05,0.0657156072662804,1.02361893329735,1.01835537822005,0.994857895935605,-0.00743762699003497,
63,CD79A,,1.00624094457221,1.00357083807287,-0.00267010649934396,1.90E-09,0.00707628705357588,1.01252083853357,1.00715442703028,0.994699949572334,-0.00766669138844937,
