ab,MajorCelltype,correlation,order,celltype,max
CD244,lymphocyte,0.071827274849639,a,NKT,2.4645113274215
CD94,lymphocyte,0.128045282272117,a,NKT,3.19550479112663
CD45RO,lymphocyte,0.419271008049501,a,Treg,1.56909828776626
CD4,lymphocyte,0.299635979734151,a,Treg,2.53141784443645
CD25,lymphocyte,0.016527218008019,a,Treg,2.53811246015735
CD5,lymphocyte,0.244610371780634,a,Treg,2.58323610817943
TCR-alpha-beta,lymphocyte,NA,a,Treg,2.91858231619126
CD28,lymphocyte,0.078149202526935,a,Treg,3.06426509492687
CD95,lymphocyte,0.172805326583799,a,Treg,3.86022071116617
CD278,lymphocyte,0.202880559700649,a,Treg,3.90045844456699
CD16,granulocyte,0.050473577829707,b,Granulocyte,3.19207363593475
CD1d,DC,0.035727192033921,c,DC,1.54814348932068
CD58,DC,0.191457025691592,c,DC,1.72807435854259
CD101,DC,0.10052113612682,c,DC,2.85182655920279
FceRIa,DC,0.092474175619039,c,DC,3.3188757830216
CD1c,DC,0.091709741324718,c,DC,3.41201022536194
CD18,monocyte,0.332192013316285,d,Monocyte ,1.56427243581786
CD196,monocyte,0.003153578837627,d,Monocyte ,1.86797627075558
CD31,monocyte,0.171812546768576,d,Monocyte ,1.98197271299677
CD328,monocyte,0.125780479619206,d,Monocyte ,2.10738869366936
CD33,monocyte,0.176351873664765,d,Monocyte ,2.15179946645971
CLEC12A,monocyte,0.188952110400392,d,Monocyte ,3.02607901468972
CD35,monocyte,0.105523417886687,d,Monocyte ,3.45621380501511
CD36,monocyte,0.16039547109396,d,Monocyte ,4.09807357672572
HLA-DR,macrophage,0.490827756618287,e,Mac_5_1_2,2.24627215455298
CD32,macrophage,0.45063739410744,e,Mac_5_1_3 ,1.98436944548601
CD88,macrophage,0.184023546413614,e,Mac_5_1_3 ,2.350546249594
CD141,macrophage,0.194045220068816,e,Mac_5_1_3 ,2.94761043466311
CD155,macrophage,0.105630237148645,e,Mac_prolif ,2.25809114724725
CD14,macrophage,0.391014939099576,e,Mac_prolif ,2.66723200516799
CD11b,macrophage,0.239261733532147,e,Mac_prolif ,2.70727113066224
CD49d,macrophage,0.280137929298232,e,Mac_prolif ,2.83711863441398
CD13,macrophage,0.189513093758062,e,Mac_prolif ,2.97448925372827
CD86,microglia,0.23899268345677,f,Mg_1_1 ,1.63714928943569
human-Ig-light-chain-kappa,microglia,NA,f,Mg_1_1 ,1.73336414001904
CD119,microglia,0.302251505909143,f,Mg_1_2,1.626745554056
CD11c,microglia,0.345186063983209,f,Mg_1_2,1.6269723624989
CD123,microglia,0.180245048307362,f,Mg_1_2,2.25560480331634
CX3CR1,microglia,0.502229095386895,f,Mg_4_1,1.93844756091004
CD39,microglia,0.262587670338366,f,Mg_prolif ,1.68183836266217
human-Ig-light-chain-lambda,microglia,NA,f,Mg_prolif ,1.79653889814344
CD64,microglia,0.401505558970177,f,Mg_prolif ,1.80881862552313
CD49b,endothelial,0.161118083537957,g,endothelial,1.98265970809188
CD41,endothelial,0.003136463552309,g,endothelial,2.61691789250317
CD27,endothelial,0.057773651492241,g,endothelial,2.61980063392128
CD62P,endothelial,0.001971404251974,g,endothelial,2.92363741566442
CD49a,endothelial,0.1153136080215,g,endothelial,3.4385199958417
CD29,endothelial,0.179412266588007,g,endothelial,3.61860487405287
CD224,endothelial,3.06E-06,g,endothelial,3.99865723687248
CD49f,endothelial,0.218966973999904,g,endothelial,4.44780211296279
CD107a,stromal cell,-0.008226627747059,h,stromal cell,1.53120873481858
CD105,stromal cell,-0.005140348244829,h,stromal cell,2.13394897871753
CD62L,stromal cell,0.020609553992398,h,stromal cell,2.56250837830642
CD73,stromal cell,0.375180839277035,h,stromal cell,2.62299918414155
CD112,tumor cell,0.074467054084605,i,TC_mesnh,1.72343417774635
CD274,tumor cell,0.145536233713817,i,TC_mesnh,2.10510658873565
CD99,tumor cell,0.102730439588804,i,TC_mesnh,3.09665657394734
CD71,tumor cell,0.045055030142097,j,TC_prolif,2.70242226530213
CD303,tumor cell,0.005832873927592,l,TC_OPC,1.51288765981057
CD137,tumor cell,-0.002211260823538,l,TC_OPC,1.59839507060151
TCR-Vdelta2,tumor cell,NA,l,TC_OPC,1.85885952824049
CD42b,tumor cell,0.003020031204273,l,TC_OPC,2.27098919864458
CD56,tumor cell,0.600673488743845,m,TC_oligo,1.64565632505683
CD146,tumor cell,0.262310606111326,m,TC_oligo,1.9274389426107
GPR56,tumor cell,0.289996041036225,m,TC_oligo,2.58008074748585
CD24,tumor cell,0.425944257163242,m,TC_oligo,2.74778522141998
CD82,oligodendrocyte,0.229615268451299,p,Oligo_2_1,1.97515018647331
CD57,oligodendrocyte,0.393960003230273,p,Oligo_2_3_1,1.8889982831231
HLA-A-B-C,oligodendrocyte,0.082086285261991,p,Oligo_2_3_2,1.53283394523415
CD47,oligodendrocyte,0.167675083869469,p,Oligo_2_3_2,1.87828353759664
CD79b,misc,-0.016761055556557,z,Bcell,1.23440575194681
CD272,misc,-0.006115076062314,z,Bcell,1.34319992969324
CD194,misc,0.007091170976151,z,Granulocyte,1.16963251054668
CD183,misc,0.000773466610121,z,Mg_4_1,1.01580258845467
CD83,misc,0.082928131825412,z,Mg_4_1,1.15316949260055
CD85j,misc,0.172757261723693,z,Mg_4_1,1.23287895256422
HLA-E,misc,0.187570463047916,z,Mg_4_1,1.29921473384243
LOX-1,misc,0.192983941124685,z,Mg_4_1,1.43989960454505
CD44,misc,0.295959389461899,z,Monocyte ,1.41101058516389
CD81,misc,0.18817963890611,z,TC_AC,1.35692939198701
CD169,misc,0.104215885953561,z,TC_OPC,1.07816226669944
CD185,misc,-0.00678396969723,z,TC_OPC,1.11226612478321
CD223,misc,-0.049636210386879,z,TC_OPC,1.1604430057885
CD154,misc,-6.84E-05,z,TC_OPC,1.17595040150876
CD270,misc,-0.117738949859453,z,TC_OPC,1.18915801801978
CD158,misc,0.030486,z,TC_OPC,1.20180812742889
CD124,misc,-0.024500123968769,z,TC_OPC,1.2239877218999
CD152,misc,-0.012128478491547,z,TC_OPC,1.23849833394607
CD267,misc,0.001851724056459,z,TC_OPC,1.27846165175332
CD163,misc,0.062379453116647,z,TC_OPC,1.36305294914355
CD134,misc,-0.026965292439105,z,TC_OPC,1.42161931526395
CD23,misc,0.010708448931617,z,TC_OPC,1.4491558309209
CD45,misc,0.419271008049501,z,Treg,1.15805056432362
TIGIT,misc,0.043901882118767,z,Treg,1.35128012588783
